Season	Win	Loss	Standing
1970	10	14	6
1971	19	7	2
1972	14	10	3
1973	13	11	6
1974	22	5	1
1975	19	8	2
1976	25	7	2
1977	26	4	1
1978	16	11	4
1979	15	12	6
1980	17	13	6
1981	19	11	7
1982	8	19	7
1983	16	12	9
1984	24	9	4
1985	26	4	1
1986	28	5	1
1987	20	12	5
1988	26	8	2
1989	30	7	3
1990	23	8	3
1991	14	15	8
1992	24	8	3
1993	0	4	2
1994	24	8	2
1995	17	14	3
1996	1	10	5
1997	0	11	6
1998	0	8	4
1999	0	18	9
1900	15	14	7
2001	10	18	10
2002	11	18	8
2003	18	12	3
2004	23	11	5
2005	13	18	9
2006	22	11	6
2007	22	13	7
2008	10	22	9
2009	21	14	7
2010	15	17	7
2011	21	14	4
2012	24	10	1
2013	31	8	4
2014	28	9	1
2015	16	16	9
2016	23	13	8
2017	26	12	5
2018	33	8	4
2019	30	7	3
