"EVTYPE","EventCategory"
"   HIGH SURF ADVISORY","High Seas/Extreme Tides/Surf"
" COASTAL FLOOD","Floods"
" FLASH FLOOD","Floods"
" LIGHTNING","Lightning"
" TSTM WIND","Thunderstorm"
" TSTM WIND (G45)","Thunderstorm"
" WATERSPOUT","Tornadoes/Waterspouts"
" WIND","High Winds"
"?","Miscellaneous"
"ABNORMAL WARMTH","Severe Heat"
"ABNORMALLY DRY","Miscellaneous"
"ABNORMALLY WET","Miscellaneous"
"ACCUMULATED SNOWFALL","Snow/Winter Storm/Blizzard"
"AGRICULTURAL FREEZE","Severe Cold"
"APACHE COUNTY","Miscellaneous"
"ASTRONOMICAL HIGH TIDE","High Seas/Extreme Tides/Surf"
"ASTRONOMICAL LOW TIDE","High Seas/Extreme Tides/Surf"
"AVALANCE","Miscellaneous"
"AVALANCHE","Miscellaneous"
"BEACH EROSIN","Miscellaneous"
"Beach Erosion","Miscellaneous"
"BEACH EROSION","Miscellaneous"
"BEACH EROSION/COASTAL FLOOD","Floods"
"BEACH FLOOD","Floods"
"BELOW NORMAL PRECIPITATION","Miscellaneous"
"BITTER WIND CHILL","Severe Cold"
"BITTER WIND CHILL TEMPERATURES","Severe Cold"
"Black Ice","Severe Cold"
"BLACK ICE","Severe Cold"
"BLIZZARD","Snow/Winter Storm/Blizzard"
"BLIZZARD AND EXTREME WIND CHIL","Snow/Winter Storm/Blizzard"
"BLIZZARD AND HEAVY SNOW","Snow/Winter Storm/Blizzard"
"Blizzard Summary","Snow/Winter Storm/Blizzard"
"BLIZZARD WEATHER","Snow/Winter Storm/Blizzard"
"BLIZZARD/FREEZING RAIN","Snow/Winter Storm/Blizzard"
"BLIZZARD/HEAVY SNOW","Snow/Winter Storm/Blizzard"
"BLIZZARD/HIGH WIND","Snow/Winter Storm/Blizzard"
"BLIZZARD/WINTER STORM","Snow/Winter Storm/Blizzard"
"BLOWING DUST","Miscellaneous"
"BLOWING SNOW","Snow/Winter Storm/Blizzard"
"blowing snow","Snow/Winter Storm/Blizzard"
"Blowing Snow","Snow/Winter Storm/Blizzard"
"BLOWING SNOW & EXTREME WIND CH","Snow/Winter Storm/Blizzard"
"BLOWING SNOW- EXTREME WIND CHI","Snow/Winter Storm/Blizzard"
"BLOWING SNOW/EXTREME WIND CHIL","Snow/Winter Storm/Blizzard"
"BLOW-OUT TIDE","High Seas/Extreme Tides/Surf"
"BLOW-OUT TIDES","High Seas/Extreme Tides/Surf"
"BREAKUP FLOODING","Floods"
"BRUSH FIRE","Wildfires"
"BRUSH FIRES","Wildfires"
"COASTAL  FLOODING/EROSION","Floods"
"COASTAL EROSION","Miscellaneous"
"COASTAL FLOOD","Floods"
"Coastal Flood","Floods"
"COASTAL FLOODING","Floods"
"Coastal Flooding","Floods"
"coastal flooding","Floods"
"COASTAL FLOODING/EROSION","Floods"
"COASTAL STORM","Miscellaneous"
"Coastal Storm","Miscellaneous"
"COASTAL SURGE","Miscellaneous"
"COASTAL/TIDAL FLOOD","Floods"
"COASTALFLOOD","Floods"
"COASTALSTORM","Miscellaneous"
"COLD","Severe Cold"
"Cold","Severe Cold"
"COLD AIR FUNNEL","Severe Cold"
"COLD AIR FUNNELS","Severe Cold"
"COLD AIR TORNADO","Severe Cold"
"Cold and Frost","Severe Cold"
"COLD AND FROST","Severe Cold"
"COLD AND SNOW","Severe Cold"
"COLD AND WET CONDITIONS","Severe Cold"
"Cold Temperature","Severe Cold"
"COLD TEMPERATURES","Severe Cold"
"COLD WAVE","Severe Cold"
"COLD WEATHER","Severe Cold"
"COLD WIND CHILL TEMPERATURES","Severe Cold"
"COLD/WIND CHILL","Severe Cold"
"COLD/WINDS","Severe Cold"
"COOL AND WET","Severe Cold"
"COOL SPELL","Severe Cold"
"CSTL FLOODING/EROSION","Floods"
"DAM BREAK","Miscellaneous"
"DAM FAILURE","Miscellaneous"
"DAMAGING FREEZE","Severe Cold"
"Damaging Freeze","Severe Cold"
"DEEP HAIL","Miscellaneous"
"DENSE FOG","Miscellaneous"
"DENSE SMOKE","Miscellaneous"
"DOWNBURST","Miscellaneous"
"DOWNBURST WINDS","Miscellaneous"
"DRIEST MONTH","Miscellaneous"
"Drifting Snow","Miscellaneous"
"DROUGHT","Severe Heat"
"DROUGHT/EXCESSIVE HEAT","Severe Heat"
"DROWNING","Miscellaneous"
"DRY","Severe Heat"
"DRY CONDITIONS","Severe Heat"
"DRY HOT WEATHER","Severe Heat"
"DRY MICROBURST","Miscellaneous"
"DRY MICROBURST 50","Miscellaneous"
"DRY MICROBURST 53","Miscellaneous"
"DRY MICROBURST 58","Miscellaneous"
"DRY MICROBURST 61","Miscellaneous"
"DRY MICROBURST 84","Miscellaneous"
"DRY MICROBURST WINDS","Miscellaneous"
"DRY MIRCOBURST WINDS","Miscellaneous"
"DRY PATTERN","Severe Heat"
"DRY SPELL","Severe Heat"
"DRY WEATHER","Severe Heat"
"DRYNESS","Severe Heat"
"DUST DEVEL","Miscellaneous"
"DUST DEVIL","Miscellaneous"
"Dust Devil","Miscellaneous"
"DUST DEVIL WATERSPOUT","Miscellaneous"
"DUST STORM","Miscellaneous"
"DUST STORM/HIGH WINDS","Miscellaneous"
"DUSTSTORM","Miscellaneous"
"EARLY FREEZE","Miscellaneous"
"EARLY FROST","Miscellaneous"
"Early Frost","Miscellaneous"
"EARLY RAIN","Miscellaneous"
"EARLY SNOW","Miscellaneous"
"Early snowfall","Miscellaneous"
"EARLY SNOWFALL","Miscellaneous"
"Erosion/Cstl Flood","Miscellaneous"
"EXCESSIVE","Miscellaneous"
"Excessive Cold","Severe Cold"
"EXCESSIVE HEAT","Severe Heat"
"EXCESSIVE HEAT/DROUGHT","Severe Heat"
"EXCESSIVE PRECIPITATION","Heavy Rains"
"EXCESSIVE RAIN","Heavy Rains"
"EXCESSIVE RAINFALL","Heavy Rains"
"EXCESSIVE SNOW","Snow/Winter Storm/Blizzard"
"EXCESSIVE WETNESS","Heavy Rains"
"EXCESSIVELY DRY","Severe Heat"
"Extended Cold","Severe Cold"
"EXTREME COLD","Severe Cold"
"Extreme Cold","Severe Cold"
"EXTREME COLD/WIND CHILL","Severe Cold"
"EXTREME HEAT","Severe Heat"
"EXTREME WIND CHILL","Severe Cold"
"EXTREME WIND CHILL/BLOWING SNO","Severe Cold"
"EXTREME WIND CHILLS","Severe Cold"
"EXTREME WINDCHILL","Severe Cold"
"EXTREME WINDCHILL TEMPERATURES","Severe Cold"
"EXTREME/RECORD COLD","Severe Cold"
"EXTREMELY WET","Heavy Rains"
"FALLING SNOW/ICE","Severe Cold"
"FIRST FROST","Miscellaneous"
"FIRST SNOW","Miscellaneous"
"FLASH FLOOD","Floods"
"FLASH FLOOD - HEAVY RAIN","Floods"
"FLASH FLOOD FROM ICE JAMS","Floods"
"FLASH FLOOD LANDSLIDES","Floods"
"FLASH FLOOD WINDS","Floods"
"FLASH FLOOD/","Floods"
"FLASH FLOOD/ FLOOD","Floods"
"FLASH FLOOD/ STREET","Floods"
"FLASH FLOOD/FLOOD","Floods"
"FLASH FLOOD/HEAVY RAIN","Floods"
"FLASH FLOOD/LANDSLIDE","Floods"
"FLASH FLOODING","Floods"
"FLASH FLOODING/FLOOD","Floods"
"FLASH FLOODING/THUNDERSTORM WI","Floods"
"FLASH FLOODS","Floods"
"FLASH FLOOODING","Floods"
"FLOOD","Floods"
"Flood","Floods"
