Season	Wins	Losses	Ties	%
1970	16	18	0	.471
1971	23	13	1	.635
1972	18	13	1	.578
1973	22	16	0	.579
1974	18	14	1	.561
1975	28	12	0	.700
1976	22	19	1	.536
1977	33	15	0	.688
1978	30	17	0	.638
1979	22	14	0	.611
1980	36	18	1	.664
1981	41	20	0	.672
1982	44	10	0	.815
1983	50	9	0	.847
1984	43	20	0	.683
1985	55	10	0	.846
1986	47	12	0	.797
1987	52	12	0	.813
1988	48	19	0	.716
1989	49	16	0	.754
1990	33	24	0	.579
1991	34	23	1	.595
1992	21	32	0	.396
1993	25	30	0	.455
1994	29	29	0	.500
1995	24	29	0	.453
1996	24	30	0	.444
1997	36	22	0	.621
1998	21	27	1	.439
1999	34	30	0	.531
2000	20	32	1	.387
2001	28	28	0	.500
2002	21	32	0	.396
2003	30	27	0	.526
2004	34	26	0	.567
2005	42	19	0	.689
2006	43	21	0	.672
2007	42	19	0	.689
2008	46	14	0	.767
2009	30	25	0	.545
2010	35	22	0	.614
2011	17	37	0	.315
2012	22	34	0	.393
2013	29	27	0	.518
2014	30	29	1	.508
2015	39	25	0	.609
2016	36	21	0	.632
2017	42	17	0	.712
2018	32	21	0	.604
2019	50	22	0	.694
