Season	Win	Loss	Standing
1970	9	1	2
1971	11	1	1
1972	10	1	1
1973	10	0	1
1974	10	1	1
1975	8	2	2
1976	10	2	1
1977	10	2	1
1978	10	2	1
1979	8	4	3
1980	10	2	1
1981	9	3	3
1982	8	4	1
1983	9	3	2
1984	6	6	6
1985	10	1	2
1986	11	2	1
1987	8	4	4
1988	9	2	1
1989	10	2	1
1990	9	3	1
1991	10	2	1
1992	9	0	1
1993	8	4	4
1994	8	4	4
1995	9	4	3
1996	8	4	5
1997	12	0	1
1998	10	3	1
1999	10	2	2
2000	9	3	1
2001	8	4	2
2002	10	3	3
2003	10	3	1
2004	9	3	1
2005	7	5	3
2006	11	2	2
2007	9	4	2
2008	3	9	10
2009	5	7	10
2010	7	6	7
2011	11	2	2
2012	8	5	2
2013	7	6	5
2014	5	7	5
2015	10	3	3
2016	10	3	3
2017	8	5	4
2018	10	3	1
2019	9	4	3
