Season	Win	Loss
1970	10	14
1971	19	7
1972	14	10
1973	13	11
1974	22	5
1975	19	8
1976	25	7
1977	26	4
1978	16	11
1979	15	12
1980	17	13
1981	19	11
1982	8	19
1983	16	12
1984	24	9
1985	26	4
1986	28	5
1987	20	12
1988	26	8
1989	30	7
1990	23	8
1991	14	15
1992	24	8
1993	0	4
1994	24	8
1995	17	14
1996	1	10
1997	0	11
1998	0	8
1999	0	18
2000	15	14
2001	10	18
2002	11	18
2003	18	12
2004	23	11
2005	13	18
2006	22	11
2007	22	13
2008	10	22
2009	21	14
2010	15	17
2011	21	14
2012	24	10
2013	31	8
2014	28	9
2015	16	16
2016	23	13
2017	26	12
2018	33	8
2019	30	7
